TS: 20;

20;100
334;
20;10000
256.2;
20;50000
261.55;
20;100000
261.7;
20;1000000
251.2;
20;2000000
253.2;TS: 40;

40;100
502.25;
40;10000
419.85;
40;50000
391.1;
40;100000
396.75;
40;1000000
368.9;
40;2000000
368.25;TS: 80;

80;100
541;
80;10000
526.55;
80;50000
446.1;
80;100000
462.9;
80;1000000
457.25;
80;2000000
466.65;TS: 120;

120;100
514.9;
120;10000
528;
120;50000
535.15;
120;100000
472.85;
120;1000000
482.9;
120;2000000
478.35;TS: 160;

160;100
605.4;
160;10000
621.45;
160;50000
533.85;
160;100000
554.25;
160;1000000
521.65;
160;2000000
523.85;TS: 200;

200;100
706.9;
200;10000
629.05;
200;50000
641.9;
200;100000
576.3;
200;1000000
550.45;
200;2000000
575.85;
